60,2009,3,800,12.27,0.16824,0.024,0.267,0,13.32,5.543,29.27,0.552,1.034
60,2009,3,900,12.34,0.16747,0.024,0.287,0,13.34,5.54,28.94,0.549,1.022
60,2009,3,1000,13.38,0.16696,0.024,0.371,0,13.37,5.536,28.73,0.548,1.015
60,2009,3,1100,13.75,0.16679,0.024,0.486,0,13.38,5.532,28.66,0.547,1.012
60,2009,3,1200,13.74,0.16732,0.024,0.605,0,13.37,5.526,28.88,0.549,1.02
60,2009,3,1300,13.71,0.16987,0.024,0.692,0,13.36,5.523,29.97,0.557,1.058
60,2009,3,1400,13.67,0.17078,0.023,0.704,0,13.34,5.524,30.36,0.56,1.072
60,2009,3,1500,13.54,0.17065,0.024,0.625,0,13.33,5.528,30.31,0.56,1.07
60,2009,3,1600,13.09,0.17046,0.024,0.559,0,13.34,5.535,30.23,0.559,1.067
60,2009,3,1700,12.72,0.16958,0.024,0.48,0,13.35,5.547,29.84,0.556,1.054
60,2009,3,1800,12.59,0.1686,0.024,0.41,0,13.35,5.554,29.42,0.553,1.039
60,2009,3,1900,12.55,0.16757,0.024,0.353,0,13.36,5.558,28.99,0.55,1.024
60,2009,3,2000,12.52,0.16672,0.024,0.309,0,13.37,5.561,28.63,0.547,1.011
60,2009,3,2100,12.49,0.16581,0.024,0.281,0,13.37,5.565,28.25,0.544,0.998
60,2009,3,2200,12.47,0.16496,0.024,0.247,0,13.38,5.566,27.89,0.541,0.985
60,2009,3,2300,12.44,0.16399,0.024,0.214,0,13.37,5.569,27.49,0.538,0.971
60,2009,3,2400,12.43,0.16317,0.024,0.169,0,13.39,5.571,27.16,0.535,0.959
24,2009,3,2400,12.27,0.16872,0.024,0.386,0,13.33,5.542,29.49,0.554,1.041
60,2009,4,100,12.41,0.1618,0.024,0.139,0,13.38,5.568,26.6,0.531,0.94
60,2009,4,200,12.4,0.16155,0.024,0.124,0,13.39,5.564,26.5,0.53,0.936
60,2009,4,300,12.37,0.15997,0.024,0.116,0,13.4,5.564,25.87,0.525,0.914
60,2009,4,400,12.35,0.1599,0.024,0.112,0,13.39,5.563,25.84,0.525,0.913
60,2009,4,500,12.33,0.15911,0.024,0.106,0,13.39,5.564,25.53,0.522,0.902
60,2009,4,600,12.31,0.15838,0.024,0.104,0,13.4,5.56,25.25,0.52,0.892
60,2009,4,700,12.28,0.1577,0.024,0.103,0,13.39,5.561,24.98,0.517,0.882
60,2009,4,800,12.28,0.15706,0.024,0.107,0,13.4,5.558,24.74,0.515,0.874
60,2009,4,900,12.37,0.15618,0.024,0.139,0,13.42,5.555,24.4,0.512,0.862
60,2009,4,1000,13.36,0.15571,0.024,0.222,0,13.44,5.551,24.22,0.511,0.855
60,2009,4,1100,13.8,0.15564,0.024,0.333,0,13.43,5.548,24.19,0.511,0.854
60,2009,4,1200,13.79,0.15751,0.024,0.456,0,13.41,5.547,24.91,0.517,0.88
60,2009,4,1300,13.75,0.1577,0.024,0.576,0,13.36,5.55,24.98,0.517,0.882
60,2009,4,1400,13.74,0.15823,0.024,0.624,0,13.33,5.549,25.19,0.519,0.889
60,2009,4,1500,13.75,0.15882,0.024,0.629,0,13.31,5.549,25.42,0.521,0.898
60,2009,4,1600,13.3,0.15898,0.024,0.627,0,13.31,5.555,25.48,0.522,0.9
60,2009,4,1700,12.83,0.15887,0.024,0.558,0,13.28,5.562,25.44,0.521,0.898
60,2009,4,1800,12.63,0.15815,0.024,0.486,0,13.28,5.569,25.16,0.519,0.888
60,2009,4,1900,12.57,0.15782,0.024,0.432,0,13.27,5.571,25.03,0.518,0.884
60,2009,4,2000,12.52,0.15712,0.024,0.395,0,13.28,5.578,24.76,0.516,0.874
60,2009,4,2100,12.5,0.15687,0.024,0.398,0,13.26,5.582,24.66,0.515,0.871
60,2009,4,2200,12.47,0.15647,0.024,0.421,0,13.24,5.584,24.51,0.513,0.866
60,2009,4,2300,12.45,0.15639,0.024,0.46,0,13.23,5.585,24.48,0.513,0.864
60,2009,4,2400,12.43,0.15651,0.024,0.49,0,13.22,5.589,24.52,0.514,0.866
24,2009,4,2400,12.28,0.15802,0.024,0.34,0,13.34,5.563,25.11,0.518,0.887
60,2009,5,100,12.42,0.15664,0.024,0.517,0,13.2,5.587,24.57,0.514,0.868
60,2009,5,200,12.41,0.15879,0.024,0.515,0,13.2,5.588,25.41,0.521,0.897
60,2009,5,300,12.39,0.16022,0.024,0.531,0,13.19,5.593,25.97,0.526,0.917
60,2009,5,400,12.37,0.15914,0.024,0.566,0,13.17,5.594,25.54,0.522,0.902
60,2009,5,500,12.35,0.15969,0.024,0.597,0,13.16,5.598,25.76,0.524,0.91
60,2009,5,600,12.34,0.16,0.025,0.632,0,13.15,5.598,25.88,0.525,0.914
60,2009,5,700,12.31,0.16172,0.026,0.634,0,13.15,5.603,26.57,0.531,0.938
