"depth","Abies (Fir)","Picea (Spruce)","Alnus (Alder)","Betula (Birch)","Carya (Hickory)","Castanea dentata (Chestnut)","Fagus grandifolia (Beech)","Fraxinus (Ash)","Ostrya/Carpinus","Pinus (Pine)","Quercus (Oak)","Tsuga canadensis (Hemlock)","Gramineae (Grasses)","Asteraceae (Ragweed etc.)","Cyperaceae (Sedge)"
835,12.02,4.37,8.2,5.46,0.55,0,0,0.55,8.2,33.88,17.49,0,0.55,1.64,0
837.5,3.19,6.39,7.83,4.35,0,0.29,0,0,0.87,39.71,9.28,0,1.88,1.16,22.61
840,7.93,1.56,14.02,0.91,0,0,0,0.3,2.13,49.09,7.01,0,1.2,3.05,2.44
845,1.65,1.63,6.84,0.94,0.24,0,0,0,3.54,32.55,6.13,0,1.2,4.72,27.59
850,17.98,2.33,3.45,0.74,0,0,0,0,0.74,48.77,4.68,0,2,0.99,15.27
860,4.7,1.97,9.14,0,0.78,0,0,0,0.78,44.91,6.01,0,0.3,2.61,20.37
870,0,3.86,12.91,0.47,0,0,0,0,0.47,30.99,0.94,0,5.06,1.88,43.19
880,0,2.79,15.98,1.94,0,0,0,0.24,0.97,17.43,1.94,0,2.66,2.91,47.94
890,0,0,31.75,2.38,0,0,0,0,0,2.38,3.17,0,8.9,9.52,7.7
900,5.15,0.95,3.86,5.58,1.72,0,0.86,0,0.86,25.32,5.15,3.86,0,1.72,39.91
910,0,0,8.67,7.14,0,0.51,0,1.53,2.55,5.61,6.63,0,8.9,4.08,28.06
920,5.41,0.93,4.38,1.8,0,0,0,0,0.26,51.8,3.61,0.26,1,2.06,22.42
930,2.29,0,0.31,0.76,0,0,0,0,0.38,41.98,3.44,0.38,1,3.82,33.97
940,0.8,0.5,1.61,0.8,0,0,0,0,0,64.66,1.61,0,0,0.4,23.69
950,0,0,2.13,5.32,0,0,0,0,0,12.77,3.19,0,13.5,1.06,60.64
960,0,4.26,4.72,0.94,0,0,0,0,0,12.26,1.89,0.94,6.4,0.94,55.66
970,0.4,4.55,2.58,0.99,0,0,0,0,0,26.98,1.59,0,4.1,2.38,51.98
980,2.7,4.71,4.73,0.68,0,0,0,0,0,35.81,0,0,5.9,1.35,42.57
990,0,0,6.15,10.77,0,0,0,0,0,26.15,1.54,0,4.54,15.38,32.31
1000,2.7,2.92,2.7,1.35,0,0,0.68,0,0,57.43,7.43,0,3.65,2.03,14.19
1030,3.13,7.25,5.21,6.25,0,0,0,0,0,38.54,6.25,0,5.8,1.04,26.04
1050,0,2.6,2.02,6.57,0,0,0,0,0.51,20.71,1.52,0,6.7,5.05,48.48
1070,0,3,6,3,0,0,0,0,0,16,1,0,13,2,48
