10,44
20,89
30,133
40,178
50,258
60,373
70,489
80,604
90,720
100,836
110,951
120,1067
130,1182
140,1298
150,1413
160,1529
170,1644
180,1760
190,1876
200,1991
205,2036
210,2069
215,2102
220,2134
225,2167
230,2200
235,2232
240,2265
245,2297
250,2330
255,2363
260,2395
265,2428
270,2460
275,2493
280,2526
285,2558
290,2591
295,2624
300,2673
305,2738
310,2803
315,2869
320,2934
325,3000
330,3065
335,3130
340,3196
345,3261
350,3326
355,3392
360,3457
365,3522
370,3588
375,3653
380,3718
385,3784
390,3849
395,3915
400,3980
405,4014
410,4047
415,4080
420,4114
425,4148
430,4181
435,4214
440,4248
445,4282
450,4315
455,4348
460,4382
465,4416
470,4449
475,4482
480,4516
485,4550
490,4583
495,4616
500,4650
505,4712
510,4774
515,4836
520,4898
525,4960
530,5022
535,5084
540,5146
545,5208
550,5270
555,5333
560,5395
565,5457
570,5519
575,5581
580,5643
585,5705
590,5767
595,5829
600,5913
605,6020
610,6127
615,6233
620,6340
625,6447
630,6553
635,6660
640,6767
645,6873
650,6980
655,7087
660,7193
665,7300
670,7407
675,7513
680,7620
685,7727
690,7833
695,7940
700,8047
705,8153
710,8260
715,8367
720,8473
725,8580
730,8687
735,8793
740,8900
745,9007
750,9113
755,9220
760,9327
765,9433
770,9540
775,9566
780,9591
785,9617
787.5,9630
790,97930
792.5,9957
795,10120
797.5,10274
800,10429
802.5,10583
805,10737
807.5,10891
810,11046
812.5,11200
815,11375
817.5,11550
820,11725
822.5,11900
825,12075
827.5,12250
830,12425
832.5,12600
