"Depth (cm)","Abies","Acer rubrum","Acer undiff.","Alnus","Betula","Carya","Castanea dentata","Corylus","Cupressaceae","Ericaceae","Fagus grandifolia","Fraxinus","Ilex","Juglans cinerea","Juglans nigra","Larix laricina","Liquidambar styraciflua "," Liriodendron tulipifera","Myricaceae","Nyssa","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Populus","Quercus","Salix","Tilia americana","Tsuga canadensis","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae undiff.","Asteraceae subf. Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Lamiaceae","Oenothera","Plantago","Poaceae","Polygonum","Rubus","Rumex","Sanguisorba","Thalictrum","Verbena","Huperzia lucidula","Huperzia selago","Osmunda","Polypodiaceae","Selaginella selaginoides","Sphagnum","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium","Typha latifolia","Utricularia","Spore (trilete)","Organic matter"
465,0,1,3,24,13,9,10,2,0,0,8,8,0,1,0,0,0,0,1,0,2,0,0,2,13,2,205,1,0,4,5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,47
470,0,0,3,18,6,10,9,6,0,0,11,7,0,0,0,0,0,0,2,0,12,0,0,0,4,1,219,0,0,8,2,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
475,0,0,4,24,20,10,15,1,0,0,8,8,0,0,0,0,0,0,3,0,5,0,0,1,19,0,300,0,0,11,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,3,36
480,0,0,9,18,10,12,8,8,0,2,12,13,2,1,0,0,1,0,0,0,12,0,0,0,20,0,238,2,0,13,4,1,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,47
485,0,0,6,18,14,17,8,4,0,0,12,8,1,1,0,1,0,0,4,1,12,0,0,3,11,0,210,1,0,8,7,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,20
490,0,0,0,16,10,9,4,4,0,0,5,3,0,0,0,0,0,0,0,0,17,0,0,1,5,0,229,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
495,0,0,5,22,5,13,5,0,0,0,11,9,0,0,0,0,0,0,3,0,13,0,0,0,11,0,212,0,0,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,42
500,0,1,3,14,19,23,2,1,1,0,7,5,1,2,0,0,0,0,6,0,1,0,2,0,10,0,198,5,0,6,7,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3,0,2,6,0,0,1,2,0,0,10,4,38
505,0,0,0,19,15,11,5,1,2,0,13,9,0,2,0,0,0,0,0,0,10,0,0,1,11,0,226,0,1,4,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
510,0,0,2,24,4,7,2,8,1,0,8,19,2,3,0,0,1,0,0,0,20,0,0,0,14,0,221,1,2,8,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,39
515,0,0,0,23,11,10,3,0,0,0,9,10,0,1,0,0,0,0,1,0,9,0,0,0,10,1,210,1,0,4,5,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,42
520,0,0,4,19,5,17,5,1,0,0,12,13,0,0,0,0,0,0,0,0,19,0,0,0,15,0,207,0,0,14,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39
525,0,0,1,19,12,13,4,1,0,1,7,6,1,0,0,0,0,0,1,0,7,0,0,0,19,0,210,0,0,15,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,33
530,0,0,1,23,9,9,5,3,0,0,8,11,0,0,0,0,0,0,0,0,12,0,0,0,9,0,214,0,0,6,5,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39
535,0,0,3,13,3,15,1,1,0,0,12,8,1,0,0,0,0,0,1,0,5,0,0,0,20,0,235,0,0,31,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
540,0,3,3,9,18,16,6,0,7,2,9,7,0,1,1,1,0,0,4,0,3,1,0,0,6,0,184,8,1,13,14,0,0,0,6,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,2,6,0,1,1,2,0,0,9,1,31
545,0,0,3,12,8,10,4,0,0,0,12,13,0,0,0,0,0,0,0,0,6,0,0,1,11,0,220,0,2,20,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,30
550,0,0,6,12,0,15,1,5,1,0,19,6,0,2,0,0,0,0,0,0,16,0,0,0,0,0,226,0,1,13,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
555,0,2,10,18,8,5,6,0,1,1,19,9,0,1,0,0,0,0,1,0,6,0,0,0,9,0,189,0,0,13,7,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,34
560,0,0,8,17,4,19,3,7,2,0,17,7,0,0,0,0,0,0,1,0,7,0,0,0,13,0,206,1,1,15,5,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,38
565,0,0,1,16,4,10,1,0,1,1,8,12,0,0,0,0,0,0,3,0,11,0,0,0,8,0,206,0,1,21,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41
570,0,5,0,18,12,21,1,6,0,2,8,6,1,2,0,5,0,0,1,3,5,0,0,0,7,2,286,5,2,26,10,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,37
575,0,0,0,20,4,8,2,0,0,0,25,10,0,2,0,2,0,0,1,0,8,0,0,0,8,0,200,0,0,13,6,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
580,0,0,4,11,8,11,2,1,2,0,26,9,0,4,0,1,1,0,0,0,7,0,0,0,8,0,197,0,0,15,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,42
585,0,0,2,8,7,7,1,2,0,0,16,8,3,4,0,0,0,0,1,0,9,0,0,0,12,0,194,0,0,18,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,57
590,0,0,4,7,0,7,1,9,0,0,20,13,0,3,0,0,0,0,0,0,6,0,0,0,0,0,219,0,1,12,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
595,0,0,1,6,10,12,5,0,0,0,16,6,0,2,0,1,0,0,1,0,10,0,0,0,8,0,246,1,2,23,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50
600,0,0,7,9,5,16,4,1,0,1,30,3,0,3,0,0,0,0,0,0,12,0,0,0,8,0,211,0,0,10,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58
605,0,0,4,10,7,14,2,1,0,2,26,12,0,2,0,1,0,0,0,0,9,0,0,0,7,0,209,0,0,14,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,44
610,0,9,0,6,10,9,0,8,0,0,3,8,0,2,0,0,0,0,1,1,6,0,0,0,2,3,234,2,1,4,7,0,0,0,2,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,50
615,0,0,2,13,11,17,1,0,0,0,17,6,0,1,0,0,0,0,0,0,15,0,0,1,12,0,213,0,3,23,10,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,37
620,0,0,12,9,2,10,1,3,0,0,16,3,1,1,0,0,0,0,0,0,12,0,0,0,7,0,244,0,0,7,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36
625,0,0,1,5,12,6,0,0,0,0,7,8,0,1,0,0,0,0,1,0,18,0,0,1,13,0,274,0,1,25,8,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,46
630,0,0,3,23,6,3,0,5,4,0,9,4,1,2,0,0,0,0,4,2,0,0,0,0,7,0,184,19,1,11,5,0,0,0,5,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,43
635,0,0,9,19,11,4,0,0,0,0,13,16,0,0,0,0,0,0,2,0,10,0,0,1,10,0,246,0,0,9,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
640,0,0,1,19,9,4,0,1,0,0,22,6,0,1,0,0,0,0,0,0,14,0,0,0,7,0,208,0,0,2,10,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,52
645,0,0,1,21,8,4,0,2,0,0,12,7,1,0,0,0,0,0,0,0,7,0,0,0,16,0,240,2,0,14,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,41
650,0,2,0,8,5,7,0,10,0,0,0,3,1,1,0,2,0,0,0,0,5,5,5,0,0,1,215,1,0,18,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,43
655,0,0,3,13,4,2,0,5,0,0,8,13,1,0,0,0,0,0,0,0,9,0,0,0,9,0,221,0,1,12,9,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
660,0,0,0,17,7,0,0,6,1,0,8,6,2,0,0,0,0,0,0,0,20,0,0,0,10,0,236,0,0,5,7,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,45
665,0,0,2,11,4,2,0,5,0,0,3,13,0,1,0,0,0,0,0,1,12,0,0,0,17,0,232,0,1,10,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,53
670,0,2,0,17,3,3,0,7,3,0,4,1,1,0,0,0,0,0,7,0,5,0,2,0,8,0,211,12,0,5,6,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,3,0,41
675,0,0,2,14,11,1,0,2,4,0,7,16,0,0,0,1,0,0,3,0,8,0,0,0,25,0,197,2,2,5,5,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43
680,0,2,6,18,6,0,0,8,0,0,8,18,1,0,0,0,0,0,0,0,8,0,0,2,13,0,238,2,0,3,8,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32
685,0,0,0,17,6,2,0,13,1,0,3,3,1,1,0,0,0,0,3,0,6,0,0,1,26,0,233,1,1,5,5,0,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44
690,0,2,0,13,8,3,0,11,2,0,1,7,1,0,0,0,0,0,3,0,2,6,0,0,7,0,270,0,2,4,6,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,35
695,0,0,2,16,8,0,0,8,1,0,5,3,0,0,0,0,0,0,1,0,3,0,0,1,39,0,217,1,3,5,4,0,0,0,6,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
700,0,0,1,22,5,0,0,14,3,0,4,7,0,1,0,0,0,0,0,0,9,0,0,0,17,0,240,1,1,6,12,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29
705,0,0,5,19,8,0,1,12,1,0,6,6,0,2,0,0,0,0,1,0,15,0,0,0,53,0,219,1,0,14,8,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27
710,0,3,1,16,14,0,0,9,2,2,2,0,1,0,0,1,0,0,8,0,3,0,5,0,26,0,219,9,1,7,7,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,1,3,0,0,7,1,30
715,0,0,0,17,6,0,1,0,0,0,2,9,2,0,0,0,0,0,3,0,14,0,0,0,41,0,256,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31
720,0,0,0,16,11,0,1,0,0,0,1,9,1,1,0,0,0,0,2,0,20,0,0,1,63,0,233,0,0,8,5,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28
725,0,0,2,9,11,1,0,1,0,0,2,10,0,0,0,1,0,0,1,0,13,0,0,2,37,0,221,0,0,4,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36
730,0,2,0,14,19,2,0,1,3,0,1,1,1,1,0,0,0,0,4,0,4,0,10,0,25,0,208,7,0,7,2,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,29
735,0,0,2,8,8,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,10,0,2,1,48,0,218,0,0,10,5,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,27
740,0,0,3,18,8,0,1,0,2,0,0,7,0,0,0,0,0,0,2,0,14,0,1,1,67,0,198,0,1,10,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,32
745,0,0,2,12,12,0,1,0,3,0,2,14,0,0,0,0,0,0,4,0,11,0,2,2,70,0,190,0,0,6,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,36
750,0,0,0,8,16,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,7,0,0,22,63,0,178,0,0,22,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42
755,0,0,0,1,8,0,0,2,0,0,3,11,0,0,0,0,0,0,0,0,11,0,0,15,107,0,136,0,0,24,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63
760,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,12,0,0,23,112,0,143,0,1,16,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60
765,0,0,3,1,7,0,0,2,0,0,1,9,0,0,0,1,0,0,3,0,9,0,0,6,117,0,102,0,1,60,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56
770,0,0,1,2,14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0,0,16,154,1,108,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,58
775,0,0,4,2,28,1,0,0,0,1,0,8,1,1,0,0,0,0,0,0,16,0,0,8,145,0,105,0,0,10,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,60
780,3,0,7,5,27,1,0,1,0,2,1,4,1,1,0,0,0,0,0,0,9,2,0,23,232,0,134,0,0,5,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,60
785,1,0,6,4,27,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,24,193,0,74,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,55
787.5,0,0,8,14,70,0,0,0,0,2,0,5,0,0,0,0,0,0,32,0,15,0,0,7,107,0,104,1,1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31
790,14,0,9,23,85,0,0,8,0,0,0,68,0,0,0,0,0,0,7,0,20,6,0,20,124,2,70,2,0,2,6,0,0,0,3,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,23
792.5,4,0,1,8,30,0,0,0,0,3,0,4,0,2,0,0,0,0,14,0,3,1,0,1,162,0,57,0,0,14,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,37
795,17,0,0,26,79,0,0,3,0,0,0,12,1,0,0,0,0,0,12,0,73,0,0,0,13,0,72,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23
797.5,22,0,1,29,54,0,0,0,0,0,0,5,0,0,0,0,0,0,17,0,2,3,0,0,119,0,22,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42
800,45,0,0,93,61,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,6,4,0,1,28,0,30,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
802.5,37,0,0,78,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,0,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
805,31,0,0,120,18,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,7,10,0,0,63,2,20,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
807.5,37,0,0,74,21,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,4,17,0,2,154,0,9,0,0,7,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
810,34,0,0,72,9,0,0,1,0,0,0,5,0,0,0,0,0,0,6,0,7,15,0,0,140,0,19,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
812.5,45,0,1,56,11,0,0,0,0,1,0,7,0,0,0,0,0,0,4,0,22,13,0,0,199,0,27,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,25
815,37,0,0,31,16,0,0,0,0,2,3,12,0,0,0,0,0,0,7,0,35,10,0,0,145,0,57,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
817.5,25,0,1,18,12,0,0,0,0,3,1,8,0,0,0,0,0,0,9,0,31,8,0,0,140,0,52,2,0,0,1,0,0,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16
820,38,0,0,14,12,0,0,1,0,0,0,7,0,0,0,0,0,0,7,0,34,14,0,0,135,0,53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
822.5,47,0,0,9,15,1,0,0,0,0,1,6,0,0,0,0,0,0,3,0,21,13,0,0,137,0,37,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33
825,14,0,0,13,11,0,0,2,0,0,0,17,0,0,0,0,0,0,9,0,29,5,0,3,129,0,85,3,0,0,0,0,1,2,3,0,0,1,13,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,21
827.5,43,0,0,17,13,0,0,5,0,1,0,32,0,0,0,0,0,0,4,0,30,19,0,0,98,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
830,59,0,0,11,9,0,0,0,0,2,3,4,1,0,0,1,0,0,3,0,30,35,0,0,98,0,32,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,24
832.5,28,0,0,12,32,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,21,27,0,0,97,0,73,9,0,0,0,0,0,1,19,0,0,0,24,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,3,13
835,22,0,0,15,10,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0,15,8,0,0,62,1,32,5,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
837.5,11,0,0,27,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,0,0,137,0,32,13,0,0,0,0,0,1,4,0,0,0,78,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,5
840,26,0,0,46,3,0,0,0,0,3,0,1,0,0,0,0,0,0,5,0,7,5,0,0,161,2,23,20,0,0,0,0,0,3,10,0,0,0,8,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
845,7,0,0,29,4,1,0,0,4,8,0,0,0,0,0,0,0,0,8,0,15,5,0,0,138,1,26,28,0,0,1,0,0,3,20,1,1,2,117,0,0,0,4,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,2
850,73,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,0,0,198,0,19,5,0,0,1,0,0,3,4,0,2,0,62,0,0,0,7,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,5
860,18,0,0,35,0,3,0,2,5,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,172,0,23,17,0,0,0,0,0,4,10,0,1,2,78,0,0,0,1,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4
870,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,13,0,0,132,0,4,5,0,0,0,0,0,1,8,0,2,2,184,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,2,0
880,0,0,0,66,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,6,0,0,72,0,8,13,0,0,0,0,0,6,12,0,4,1,198,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,1,2
890,0,0,0,40,3,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,8,4,17,0,0,0,0,0,5,12,0,0,2,0,0,0,0,15,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
900,2,0,0,9,13,4,0,0,1,4,2,0,0,4,0,0,0,0,9,0,2,2,0,0,59,0,12,4,0,9,0,0,0,0,4,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
910,0,0,2,17,14,0,1,1,1,0,0,3,0,0,0,0,0,0,2,0,5,0,0,1,10,0,13,28,0,0,2,0,0,8,8,0,0,0,55,0,0,0,17,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6
920,21,0,0,17,7,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,201,0,14,11,0,1,0,0,0,9,8,0,0,0,87,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
930,6,0,1,8,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,110,0,9,6,0,1,0,0,0,10,10,1,0,1,89,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
940,2,0,0,4,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,161,0,4,5,0,0,0,0,0,3,1,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4
950,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,8,0,0,0,0,0,0,1,0,1,0,57,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,4
960,0,0,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,13,8,2,3,0,1,1,0,0,0,1,0,2,0,59,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,2,0,0,0,1,4
970,2,0,0,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,136,1,8,24,0,0,2,0,0,10,12,0,0,0,262,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3
980,4,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,53,0,0,5,0,0,0,0,0,0,2,0,0,2,63,0,0,0,5,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3
